player_id,timestamp,net_now,net_prev,velocity
220,2025-12-22_13-48-26,-360,0,360
221,2025-12-22_13-48-26,-7,0,7
222,2025-12-22_13-48-26,0,0,0
223,2025-12-22_13-48-26,2,0,-2
224,2025-12-22_13-48-26,-4935,0,4935
225,2025-12-22_13-48-26,3792,0,-3792
226,2025-12-22_13-48-26,4135,0,-4135
227,2025-12-22_13-48-26,-4,0,4
228,2025-12-22_13-48-26,-200,0,200
229,2025-12-22_13-48-26,-2,0,2
230,2025-12-22_13-48-26,140,0,-140
231,2025-12-22_13-48-26,-1,0,1
232,2025-12-22_13-48-26,-41,0,41
233,2025-12-22_13-48-26,-155,0,155
234,2025-12-22_13-48-26,0,0,0
235,2025-12-22_13-48-26,2314,0,-2314
236,2025-12-22_13-48-26,-2195,0,2195
237,2025-12-22_13-48-26,-4183,0,4183
238,2025-12-22_13-48-26,-1897,0,1897
239,2025-12-22_13-48-26,-17,0,17
240,2025-12-22_13-48-26,-2,0,2
241,2025-12-22_13-48-26,-365,0,365
243,2025-12-22_13-48-26,-2,0,2
244,2025-12-22_13-48-26,-4,0,4
245,2025-12-22_13-48-26,0,0,0
246,2025-12-22_13-48-26,10,0,-10
247,2025-12-22_13-48-26,-2,0,2
248,2025-12-22_13-48-26,0,0,0
249,2025-12-22_13-48-26,-6257,0,6257
250,2025-12-22_13-48-26,-103,0,103
251,2025-12-22_13-48-26,-2,0,2
252,2025-12-22_13-48-26,-3102,0,3102
453,2025-12-22_13-48-26,-36,0,36
672,2025-12-22_13-48-26,-9,0,9
743,2025-12-22_13-48-26,-3,0,3
253,2025-12-22_13-48-26,-1712,0,1712
254,2025-12-22_13-48-26,-11,0,11
255,2025-12-22_13-48-26,0,0,0
256,2025-12-22_13-48-26,-10050,0,10050
257,2025-12-22_13-48-26,-1654,0,1654
258,2025-12-22_13-48-26,-685,0,685
259,2025-12-22_13-48-26,12,0,-12
260,2025-12-22_13-48-26,-272,0,272
261,2025-12-22_13-48-26,-392,0,392
262,2025-12-22_13-48-26,-2,0,2
263,2025-12-22_13-48-26,121,0,-121
264,2025-12-22_13-48-26,0,0,0
265,2025-12-22_13-48-26,1,0,-1
267,2025-12-22_13-48-26,-1181,0,1181
268,2025-12-22_13-48-26,1,0,-1
269,2025-12-22_13-48-26,1,0,-1
270,2025-12-22_13-48-26,20,0,-20
271,2025-12-22_13-48-26,-84,0,84
272,2025-12-22_13-48-26,1,0,-1
273,2025-12-22_13-48-26,403,0,-403
274,2025-12-22_13-48-26,4,0,-4
275,2025-12-22_13-48-26,4,0,-4
276,2025-12-22_13-48-26,762,0,-762
277,2025-12-22_13-48-26,0,0,0
278,2025-12-22_13-48-26,-4,0,4
279,2025-12-22_13-48-26,-1,0,1
280,2025-12-22_13-48-26,0,0,0
281,2025-12-22_13-48-26,-1,0,1
282,2025-12-22_13-48-26,-2,0,2
283,2025-12-22_13-48-26,-14189,0,14189
284,2025-12-22_13-48-26,-99,0,99
285,2025-12-22_13-48-26,-20,0,20
286,2025-12-22_13-48-26,-39,0,39
690,2025-12-22_13-48-26,-88,0,88
712,2025-12-22_13-48-26,-78,0,78
723,2025-12-22_13-48-26,-7,0,7
732,2025-12-22_13-48-26,14,0,-14
762,2025-12-22_13-48-26,8,0,-8
242,2025-12-22_13-48-26,-12830,0,12830
287,2025-12-22_13-48-26,902,0,-902
288,2025-12-22_13-48-26,-7,0,7
289,2025-12-22_13-48-26,-5,0,5
290,2025-12-22_13-48-26,-12,0,12
291,2025-12-22_13-48-26,2068,0,-2068
292,2025-12-22_13-48-26,299,0,-299
293,2025-12-22_13-48-26,161,0,-161
294,2025-12-22_13-48-26,-17,0,17
295,2025-12-22_13-48-26,6457,0,-6457
296,2025-12-22_13-48-26,2,0,-2
297,2025-12-22_13-48-26,5,0,-5
298,2025-12-22_13-48-26,-8,0,8
299,2025-12-22_13-48-26,-4506,0,4506
300,2025-12-22_13-48-26,72,0,-72
301,2025-12-22_13-48-26,81,0,-81
302,2025-12-22_13-48-26,-21,0,21
303,2025-12-22_13-48-26,485,0,-485
304,2025-12-22_13-48-26,15,0,-15
305,2025-12-22_13-48-26,-2,0,2
