player_id,net_transfers_delta,timestamp
262,0,2025-12-24_07-02-06
263,5,2025-12-24_07-02-06
264,0,2025-12-24_07-02-06
265,0,2025-12-24_07-02-06
267,-118,2025-12-24_07-02-06
268,0,2025-12-24_07-02-06
269,0,2025-12-24_07-02-06
270,3,2025-12-24_07-02-06
271,-12,2025-12-24_07-02-06
272,3,2025-12-24_07-02-06
273,83,2025-12-24_07-02-06
274,0,2025-12-24_07-02-06
275,1,2025-12-24_07-02-06
276,153,2025-12-24_07-02-06
277,0,2025-12-24_07-02-06
278,0,2025-12-24_07-02-06
279,0,2025-12-24_07-02-06
280,0,2025-12-24_07-02-06
281,-1,2025-12-24_07-02-06
282,0,2025-12-24_07-02-06
283,-1297,2025-12-24_07-02-06
284,-107,2025-12-24_07-02-06
285,-2,2025-12-24_07-02-06
286,-3,2025-12-24_07-02-06
690,-4,2025-12-24_07-02-06
712,-13,2025-12-24_07-02-06
723,0,2025-12-24_07-02-06
732,1,2025-12-24_07-02-06
762,2,2025-12-24_07-02-06
242,-1030,2025-12-24_07-02-06
287,357,2025-12-24_07-02-06
288,-4,2025-12-24_07-02-06
289,0,2025-12-24_07-02-06
290,1,2025-12-24_07-02-06
291,470,2025-12-24_07-02-06
292,61,2025-12-24_07-02-06
293,49,2025-12-24_07-02-06
294,-1,2025-12-24_07-02-06
295,1525,2025-12-24_07-02-06
296,2,2025-12-24_07-02-06
297,-2,2025-12-24_07-02-06
298,0,2025-12-24_07-02-06
299,-449,2025-12-24_07-02-06
300,42,2025-12-24_07-02-06
301,28,2025-12-24_07-02-06
302,-3,2025-12-24_07-02-06
303,104,2025-12-24_07-02-06
304,4,2025-12-24_07-02-06
305,0,2025-12-24_07-02-06
306,3,2025-12-24_07-02-06
307,4,2025-12-24_07-02-06
308,0,2025-12-24_07-02-06
309,0,2025-12-24_07-02-06
310,86,2025-12-24_07-02-06
311,-13,2025-12-24_07-02-06
312,0,2025-12-24_07-02-06
313,-2,2025-12-24_07-02-06
419,657,2025-12-24_07-02-06
630,-3,2025-12-24_07-02-06
667,0,2025-12-24_07-02-06
704,-1,2025-12-24_07-02-06
705,3,2025-12-24_07-02-06
707,2,2025-12-24_07-02-06
728,0,2025-12-24_07-02-06
314,-32,2025-12-24_07-02-06
315,0,2025-12-24_07-02-06
316,75,2025-12-24_07-02-06
317,111,2025-12-24_07-02-06
318,-52,2025-12-24_07-02-06
319,-1,2025-12-24_07-02-06
320,-2,2025-12-24_07-02-06
321,0,2025-12-24_07-02-06
322,88,2025-12-24_07-02-06
323,-4,2025-12-24_07-02-06
324,-65,2025-12-24_07-02-06
325,75,2025-12-24_07-02-06
326,0,2025-12-24_07-02-06
327,0,2025-12-24_07-02-06
328,-34,2025-12-24_07-02-06
329,-802,2025-12-24_07-02-06
330,1,2025-12-24_07-02-06
331,3,2025-12-24_07-02-06
332,1,2025-12-24_07-02-06
333,-1,2025-12-24_07-02-06
334,0,2025-12-24_07-02-06
335,-24,2025-12-24_07-02-06
336,-3,2025-12-24_07-02-06
337,-149,2025-12-24_07-02-06
338,-16,2025-12-24_07-02-06
664,1,2025-12-24_07-02-06
727,-45,2025-12-24_07-02-06
731,13,2025-12-24_07-02-06
737,0,2025-12-24_07-02-06
770,0,2025-12-24_07-02-06
339,-5,2025-12-24_07-02-06
340,3,2025-12-24_07-02-06
341,5,2025-12-24_07-02-06
342,3,2025-12-24_07-02-06
343,7,2025-12-24_07-02-06
344,78,2025-12-24_07-02-06
345,-2,2025-12-24_07-02-06
346,-5,2025-12-24_07-02-06
347,86,2025-12-24_07-02-06
348,-42,2025-12-24_07-02-06
349,0,2025-12-24_07-02-06
350,12,2025-12-24_07-02-06
351,0,2025-12-24_07-02-06
352,2,2025-12-24_07-02-06
353,-1,2025-12-24_07-02-06
354,53,2025-12-24_07-02-06
355,0,2025-12-24_07-02-06
356,3,2025-12-24_07-02-06
357,0,2025-12-24_07-02-06
358,15,2025-12-24_07-02-06
359,0,2025-12-24_07-02-06
360,0,2025-12-24_07-02-06
361,0,2025-12-24_07-02-06
362,-4,2025-12-24_07-02-06
363,-4,2025-12-24_07-02-06
364,0,2025-12-24_07-02-06
365,-38,2025-12-24_07-02-06
493,-24,2025-12-24_07-02-06
660,744,2025-12-24_07-02-06
665,-12,2025-12-24_07-02-06
691,1694,2025-12-24_07-02-06
698,4,2025-12-24_07-02-06
706,-4,2025-12-24_07-02-06
741,1,2025-12-24_07-02-06
366,170,2025-12-24_07-02-06
367,-18,2025-12-24_07-02-06
368,-3,2025-12-24_07-02-06
369,-1,2025-12-24_07-02-06
370,223,2025-12-24_07-02-06
371,60,2025-12-24_07-02-06
372,0,2025-12-24_07-02-06
373,660,2025-12-24_07-02-06
374,301,2025-12-24_07-02-06
375,-21,2025-12-24_07-02-06
376,-9,2025-12-24_07-02-06
377,0,2025-12-24_07-02-06
378,-5,2025-12-24_07-02-06
379,1,2025-12-24_07-02-06
380,-3,2025-12-24_07-02-06
381,-343,2025-12-24_07-02-06
382,1688,2025-12-24_07-02-06
383,0,2025-12-24_07-02-06
384,-269,2025-12-24_07-02-06
385,38,2025-12-24_07-02-06
386,124,2025-12-24_07-02-06
387,-865,2025-12-24_07-02-06
388,45,2025-12-24_07-02-06
390,680,2025-12-24_07-02-06
392,-2,2025-12-24_07-02-06
393,0,2025-12-24_07-02-06
394,0,2025-12-24_07-02-06
395,0,2025-12-24_07-02-06
396,-6,2025-12-24_07-02-06
397,0,2025-12-24_07-02-06
398,0,2025-12-24_07-02-06
499,-169,2025-12-24_07-02-06
661,6106,2025-12-24_07-02-06
