player_id,net_transfers_delta,price_change,timestamp
154,0,0.0,2025-12-28_04-17-01
155,-6,0.0,2025-12-28_04-17-01
156,-25,0.0,2025-12-28_04-17-01
157,-296,0.0,2025-12-28_04-17-01
158,243,0.0,2025-12-28_04-17-01
159,1,0.0,2025-12-28_04-17-01
160,-1405,0.0,2025-12-28_04-17-01
161,0,0.0,2025-12-28_04-17-01
162,3,0.0,2025-12-28_04-17-01
163,0,0.0,2025-12-28_04-17-01
164,-14,0.0,2025-12-28_04-17-01
165,0,0.0,2025-12-28_04-17-01
166,149,0.0,2025-12-28_04-17-01
167,-437,0.0,2025-12-28_04-17-01
169,520,0.0,2025-12-28_04-17-01
170,-21,0.0,2025-12-28_04-17-01
171,0,0.0,2025-12-28_04-17-01
172,0,0.0,2025-12-28_04-17-01
173,-102,0.0,2025-12-28_04-17-01
174,-1,0.0,2025-12-28_04-17-01
175,-12,0.0,2025-12-28_04-17-01
176,-2,0.0,2025-12-28_04-17-01
177,-1,0.0,2025-12-28_04-17-01
178,-3181,-0.10000000000000053,2025-12-28_04-17-01
179,0,0.0,2025-12-28_04-17-01
180,-16,0.0,2025-12-28_04-17-01
181,-57,0.0,2025-12-28_04-17-01
744,2,0.0,2025-12-28_04-17-01
761,2,0.0,2025-12-28_04-17-01
168,-4,0.0,2025-12-28_04-17-01
220,93,0.0,2025-12-28_04-17-01
221,-14,0.0,2025-12-28_04-17-01
222,0,0.0,2025-12-28_04-17-01
223,-6,0.0,2025-12-28_04-17-01
224,-5982,0.0,2025-12-28_04-17-01
225,13855,0.10000000000000053,2025-12-28_04-17-01
226,-1534,0.0,2025-12-28_04-17-01
227,0,0.0,2025-12-28_04-17-01
228,-1822,0.0,2025-12-28_04-17-01
229,14,0.0,2025-12-28_04-17-01
230,-512,0.0,2025-12-28_04-17-01
231,0,0.0,2025-12-28_04-17-01
232,-95,0.0,2025-12-28_04-17-01
233,-445,0.0,2025-12-28_04-17-01
234,-3,0.0,2025-12-28_04-17-01
235,-495,0.0,2025-12-28_04-17-01
236,-6416,0.0,2025-12-28_04-17-01
237,-5808,0.0,2025-12-28_04-17-01
238,-324,0.0,2025-12-28_04-17-01
239,-9,0.0,2025-12-28_04-17-01
240,-2,0.0,2025-12-28_04-17-01
241,-1235,0.0,2025-12-28_04-17-01
243,-5,0.0,2025-12-28_04-17-01
244,-1,0.0,2025-12-28_04-17-01
245,2,0.0,2025-12-28_04-17-01
246,-58,0.0,2025-12-28_04-17-01
247,-4,0.0,2025-12-28_04-17-01
248,0,0.0,2025-12-28_04-17-01
249,-213,0.0,2025-12-28_04-17-01
250,-18,0.0,2025-12-28_04-17-01
251,-3,0.0,2025-12-28_04-17-01
252,-2057,0.0,2025-12-28_04-17-01
453,-118,0.0,2025-12-28_04-17-01
672,-7,0.0,2025-12-28_04-17-01
743,-1,0.0,2025-12-28_04-17-01
253,-682,0.0,2025-12-28_04-17-01
254,-13,0.0,2025-12-28_04-17-01
255,0,0.0,2025-12-28_04-17-01
256,-9015,0.0,2025-12-28_04-17-01
257,-1819,0.0,2025-12-28_04-17-01
258,-246,0.0,2025-12-28_04-17-01
259,8,0.0,2025-12-28_04-17-01
260,4582,0.0,2025-12-28_04-17-01
261,-5432,0.0,2025-12-28_04-17-01
262,-3,0.0,2025-12-28_04-17-01
263,-88,0.0,2025-12-28_04-17-01
264,0,0.0,2025-12-28_04-17-01
265,0,0.0,2025-12-28_04-17-01
267,-760,0.0,2025-12-28_04-17-01
268,0,0.0,2025-12-28_04-17-01
269,-9,0.0,2025-12-28_04-17-01
270,16,0.0,2025-12-28_04-17-01
271,-65,0.0,2025-12-28_04-17-01
272,5,0.0,2025-12-28_04-17-01
273,85,0.0,2025-12-28_04-17-01
274,-3,0.0,2025-12-28_04-17-01
275,2,0.0,2025-12-28_04-17-01
276,320,0.0,2025-12-28_04-17-01
277,0,0.0,2025-12-28_04-17-01
278,-4,0.0,2025-12-28_04-17-01
279,0,0.0,2025-12-28_04-17-01
280,0,0.0,2025-12-28_04-17-01
281,-8,0.0,2025-12-28_04-17-01
282,-1,0.0,2025-12-28_04-17-01
283,-6196,0.0,2025-12-28_04-17-01
284,-513,0.0,2025-12-28_04-17-01
285,-9,0.0,2025-12-28_04-17-01
286,-32,0.0,2025-12-28_04-17-01
690,-89,0.0,2025-12-28_04-17-01
712,-144,0.0,2025-12-28_04-17-01
723,7,0.0,2025-12-28_04-17-01
732,18,0.0,2025-12-28_04-17-01
762,7,0.0,2025-12-28_04-17-01
242,-9586,0.0,2025-12-28_04-17-01
287,2052,0.0,2025-12-28_04-17-01
288,-9,0.0,2025-12-28_04-17-01
289,-1,0.0,2025-12-28_04-17-01
290,-5,0.0,2025-12-28_04-17-01
291,5416,0.0,2025-12-28_04-17-01
292,188,0.0,2025-12-28_04-17-01
293,49,0.0,2025-12-28_04-17-01
294,-12,0.0,2025-12-28_04-17-01
295,18864,0.0,2025-12-28_04-17-01
296,1,0.0,2025-12-28_04-17-01
297,-20,0.0,2025-12-28_04-17-01
298,-3,0.0,2025-12-28_04-17-01
299,-2750,0.0,2025-12-28_04-17-01
300,15,0.0,2025-12-28_04-17-01
301,-14,0.0,2025-12-28_04-17-01
302,-21,0.0,2025-12-28_04-17-01
303,362,0.0,2025-12-28_04-17-01
304,15,0.0,2025-12-28_04-17-01
305,-2,0.0,2025-12-28_04-17-01
306,-14,0.0,2025-12-28_04-17-01
307,-2,0.0,2025-12-28_04-17-01
308,-2,0.0,2025-12-28_04-17-01
309,0,0.0,2025-12-28_04-17-01
310,-231,0.0,2025-12-28_04-17-01
311,-160,0.0,2025-12-28_04-17-01
312,-6,0.0,2025-12-28_04-17-01
313,-6,0.0,2025-12-28_04-17-01
419,-9422,0.0,2025-12-28_04-17-01
630,-84,0.0,2025-12-28_04-17-01
667,-2,0.0,2025-12-28_04-17-01
704,-6,0.0,2025-12-28_04-17-01
705,-14,0.0,2025-12-28_04-17-01
707,8,0.0,2025-12-28_04-17-01
728,-2,0.0,2025-12-28_04-17-01
314,-319,0.0,2025-12-28_04-17-01
315,-2,0.0,2025-12-28_04-17-01
316,645,0.0,2025-12-28_04-17-01
317,-2060,0.0,2025-12-28_04-17-01
318,-315,0.0,2025-12-28_04-17-01
319,-37,0.0,2025-12-28_04-17-01
320,-3,0.0,2025-12-28_04-17-01
321,55,0.0,2025-12-28_04-17-01
322,143,0.0,2025-12-28_04-17-01
323,-17,0.0,2025-12-28_04-17-01
324,-463,0.0,2025-12-28_04-17-01
325,-682,0.0,2025-12-28_04-17-01
326,-10,0.0,2025-12-28_04-17-01
327,-1,0.0,2025-12-28_04-17-01
328,-190,0.0,2025-12-28_04-17-01
329,3057,0.0,2025-12-28_04-17-01
330,-12,0.0,2025-12-28_04-17-01
331,1,0.0,2025-12-28_04-17-01
332,3,0.0,2025-12-28_04-17-01
333,-1,0.0,2025-12-28_04-17-01
334,0,0.0,2025-12-28_04-17-01
335,-1188,0.0,2025-12-28_04-17-01
336,-69,0.0,2025-12-28_04-17-01
337,-725,0.0,2025-12-28_04-17-01
338,-96,0.0,2025-12-28_04-17-01
664,1,0.0,2025-12-28_04-17-01
727,-364,0.0,2025-12-28_04-17-01
731,-35,0.0,2025-12-28_04-17-01
737,-26,0.0,2025-12-28_04-17-01
770,0,0.0,2025-12-28_04-17-01
339,-34,0.0,2025-12-28_04-17-01
340,-12,0.0,2025-12-28_04-17-01
341,-172,0.0,2025-12-28_04-17-01
342,-5,0.0,2025-12-28_04-17-01
343,-37,0.0,2025-12-28_04-17-01
344,96,0.0,2025-12-28_04-17-01
345,-26,0.0,2025-12-28_04-17-01
346,-29,0.0,2025-12-28_04-17-01
347,-597,0.0,2025-12-28_04-17-01
348,-1524,0.0,2025-12-28_04-17-01
349,-6,0.0,2025-12-28_04-17-01
350,-36,0.0,2025-12-28_04-17-01
351,-2,0.0,2025-12-28_04-17-01
352,-4,0.0,2025-12-28_04-17-01
353,-10,0.0,2025-12-28_04-17-01
354,-2,0.0,2025-12-28_04-17-01
355,-5,0.0,2025-12-28_04-17-01
356,6,0.0,2025-12-28_04-17-01
357,0,0.0,2025-12-28_04-17-01
358,-102,0.0,2025-12-28_04-17-01
359,0,0.0,2025-12-28_04-17-01
360,-1,0.0,2025-12-28_04-17-01
361,-4,0.0,2025-12-28_04-17-01
362,-8,0.0,2025-12-28_04-17-01
363,-34,0.0,2025-12-28_04-17-01
364,0,0.0,2025-12-28_04-17-01
365,-204,0.0,2025-12-28_04-17-01
493,-105,0.0,2025-12-28_04-17-01
660,672,0.0,2025-12-28_04-17-01
665,-14,0.0,2025-12-28_04-17-01
691,2508,0.0,2025-12-28_04-17-01
698,-54,0.0,2025-12-28_04-17-01
706,-30,0.0,2025-12-28_04-17-01
741,7,0.0,2025-12-28_04-17-01
366,101,0.0,2025-12-28_04-17-01
367,-218,0.0,2025-12-28_04-17-01
368,-66,0.0,2025-12-28_04-17-01
369,-30,0.0,2025-12-28_04-17-01
370,4718,0.0,2025-12-28_04-17-01
371,-107,0.0,2025-12-28_04-17-01
372,-119,0.0,2025-12-28_04-17-01
373,-1675,0.0,2025-12-28_04-17-01
374,-178,0.0,2025-12-28_04-17-01
375,41,0.0,2025-12-28_04-17-01
376,-102,0.0,2025-12-28_04-17-01
377,0,0.0,2025-12-28_04-17-01
378,1343,0.0,2025-12-28_04-17-01
379,-45,0.0,2025-12-28_04-17-01
380,-49,0.0,2025-12-28_04-17-01
381,-2772,0.0,2025-12-28_04-17-01
382,17798,0.0,2025-12-28_04-17-01
383,-1,0.0,2025-12-28_04-17-01
384,484,0.0,2025-12-28_04-17-01
