player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
703,Sam Proctor,Proctor,Aston Villa,3.9,0.6,1408,574,0.0,0,a,24,0.0,8.0,0.9333333333333786
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,26,157,0.0,0,a,-3,0.0,7.333333333333333,2.4000000000000457
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,229,67,1.5,295,a,16,0.0,12.333333333333334,4.800000000000045
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,9,8,0.0,0,a,0,0.0,4.333333333333333,6.133333333333379
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,16,13,0.0,0,a,0,0.0,5.333333333333333,7.466666666666711
768,Leon Routh,Leon Routh,Aston Villa,4.0,0.0,13,12,0.0,0,a,-1,0.0,-0.3333333333333333,5.800000000000045
183,Max Weiß,Weiss,Burnley,4.3,0.1,42,59,0.0,0,a,-1,0.0,-0.6666666666666666,4.2000000000000455
184,Etienne Green,Green,Burnley,4.0,0.2,0,63,0.0,0,u,-1,0.0,-1.0,1.5333333333333783
185,Václav Hladký,Hladký,Burnley,3.9,0.2,56,124,0.0,0,a,-12,0.0,-4.666666666666667,-0.26666666666662164
186,Connor Roberts,Roberts,Burnley,4.4,0.0,4,6,0.0,0,i,0,0.0,-4.333333333333333,-2.199999999999955
187,Kyle Walker,Walker,Burnley,4.4,1.2,555,479,2.2,1516,a,15,0.0,1.0,-1.933333333333288
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,104,301,0.0,0,a,-16,0.0,-0.3333333333333333,-1.8666666666666216
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,4,0.0,0,u,0,0.0,-0.3333333333333333,-1.733333333333288
190,Hjalmar Ekdal,Ekdal,Burnley,3.9,0.9,962,415,3.2,983,a,40,0.0,8.0,0.8000000000000451
191,Maxime Estève,Estève,Burnley,3.9,10.5,721,19026,1.8,1432,d,-605,0.0,-188.33333333333331,-35.99999999999995
192,Quilindschy Hartman,Hartman,Burnley,4.0,1.0,407,1975,1.5,1337,a,-42,0.0,-202.33333333333331,-76.6666666666666
193,Bashir Humphreys,Humphreys,Burnley,3.9,0.1,38,15,1.0,92,a,0,0.0,-215.66666666666663,-119.73333333333328
194,Jordan Beyer,Jordan,Burnley,3.9,0.1,6,20,0.0,0,i,-1,0.0,-14.333333333333334,-122.53333333333326
195,Lucas Pires Silva,Lucas Pires,Burnley,3.8,0.2,190,146,0.8,231,a,7,0.0,2.0,-123.73333333333326
196,Shurandy Sambo,Sambo,Burnley,4.0,0.0,0,5,0.0,0,u,0,0.0,2.0,-85.66666666666661
197,Oliver Sonne,Sonne,Burnley,3.8,0.3,351,471,1.3,128,a,-6,0.0,0.3333333333333333,-45.13333333333328
198,Axel Tuanzebe,Tuanzebe,Burnley,3.9,1.2,5,1499,0.2,706,n,-43,0.0,-16.333333333333332,-5.266666666666621
199,Joe Worrall,Worrall,Burnley,3.8,0.2,40,151,0.5,154,d,-10,0.0,-19.666666666666668,-6.333333333333288
200,Jaidon Anthony,Anthony,Burnley,5.2,2.3,263,3204,1.7,1139,a,-99,0.0,-50.66666666666666,-16.866666666666617
201,Manuel Benson Hedilazio,Benson,Burnley,5.4,0.0,0,4,0.0,0,u,-1,0.0,-36.66666666666666,-24.599999999999948
202,Jacob Bruun Larsen,Bruun Larsen,Burnley,5.3,0.0,41,32,2.0,783,a,0,0.0,-33.333333333333336,-31.33333333333328
203,Enock Agyei,Boateng,Burnley,4.7,0.0,38,43,0.0,0,a,-3,0.0,-1.3333333333333333,-28.333333333333286
204,Darko Churlinov,Churlinov,Burnley,4.9,0.0,0,2,0.0,0,u,0,0.0,-1.0,-24.599999999999948
205,Josh Cullen,Cullen,Burnley,5.0,1.9,604,4181,2.5,1513,d,-263,0.0,-88.66666666666667,-32.19999999999995
206,Marcus Edwards,Edwards,Burnley,4.7,0.1,111,63,1.7,183,a,1,0.0,-87.33333333333333,-42.333333333333286
207,Hannibal Mejbri,Hannibal,Burnley,4.7,0.1,2,57,0.2,395,n,-2,0.0,-88.0,-53.266666666666616
208,Luca Koleosho,Koleosho,Burnley,5.0,0.0,0,1,0.0,0,u,0,0.0,-0.3333333333333333,-53.06666666666662
209,Josh Laurent,Laurent,Burnley,4.8,0.0,23,13,1.7,783,a,0,0.0,-0.6666666666666666,-52.99999999999996
210,Loum Tchaouna,Tchaouna,Burnley,4.9,0.0,9,22,0.8,653,a,0,0.0,0.0,-35.266666666666616
211,Aaron Ramsey,A.Ramsey,Burnley,4.4,1.6,0,659,0.0,0,u,-21,0.0,-7.0,-19.199999999999953
212,Oluwaseun Adewumi,Adewumi,Burnley,4.5,0.0,0,2,0.0,0,u,-1,0.0,-7.333333333333333,-3.066666666666618
